"Species";"NFC";"Legume";"Order";"Family";"Data_fixing";"Source";"Source2";"Data_corrected";"Species_corrected";"Analysed_Werner_etal."
"Trifolium polyphyllum";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"Soudzilovskaia_2012";"No_correction";"No_correction";"Analysed"
"Oxytropis kubanensis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Soudzilovskaia_2012";"No_correction";"No_correction";"Not_analysed"
"Vigna unguiculata";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Becking_1975";"No_correction";"No_correction";"Analysed"
"Macroptilium atropurpureum";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Becking_1975";"No_correction";"No_correction";"Analysed"
"Macroptilium lathyroides";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Becking_1975";"No_correction";"No_correction";"Analysed"
"Trifolium alexandrinum";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Becking_1975";"No_correction";"No_correction";"Analysed"
"Arachis hypogaea";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Becking_1975";"No_correction";"No_correction";"Analysed"
"Phaseolus vulgaris";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Becking_1975";"No_correction";"No_correction";"Analysed"
"Lupinus angustifolius";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Becking_1975";"No_correction";"No_correction";"Analysed"
"Chamaecrista adiantifolia";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Pons_2007";"No_correction";"No_correction";"Not_analysed"
"Chamaecrista apoucouita";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Pons_2007";"No_correction";"No_correction";"Not_analysed"
"Dicymbe altsonii";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"Pons_2007";"No_correction";"No_correction";"Analysed"
"Eperua falcata";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"Pons_2007";"No_correction";"No_correction";"Analysed"
"Eperua grandiflora";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"Pons_2007";"No_correction";"No_correction";"Analysed"
"Eperua rubiginosa";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"Pons_2007";"No_correction";"No_correction";"Analysed"
"Hymenaea courbaril";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"Pons_2007";"No_correction";"No_correction";"Analysed"
"Mora excelsa";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"Pons_2007";"No_correction";"No_correction";"Analysed"
"Mora gonggrijpii";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"Pons_2007";"No_correction";"No_correction";"Analysed"
