"Species";"NFC";"Legume";"Order";"Family";"Data_fixing";"Source";"Source2";"Data_corrected";"Species_corrected";"Analysed_Werner_etal."
"Vouacapoua macropetala";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"Pons_2007";"No_correction";"No_correction";"Analysed"
"Abarema jupunba";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Pons_2007";"No_correction";"No_correction";"Analysed"
"Albizia pedicellaris";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Pons_2007";"No_correction";"No_correction";"Not_analysed"
"Parkia nitida";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"Pons_2007";"No_correction";"No_correction";"Not_analysed"
"Pentaclethra macroloba";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Pons_2007";"No_correction";"No_correction";"Analysed"
"Clathrotropis macrocarpa";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Pons_2007";"No_correction";"No_correction";"Not_analysed"
"Dioclea elliptica";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Pons_2007";"No_correction";"No_correction";"Not_analysed"
"Diplotropis purpurea";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Pons_2007";"No_correction";"No_correction";"Analysed"
"Ormosia coccinea";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Pons_2007";"No_correction";"No_correction";"Analysed"
"Ormosia coutinhoi";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Pons_2007";"No_correction";"No_correction";"Not_analysed"
"Pterocarpus officinalis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Pons_2007";"No_correction";"No_correction";"Analysed"
"Swartzia jenmanii";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Pons_2007";"No_correction";"No_correction";"Not_analysed"
"Swartzia schomburgkii";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Pons_2007";"No_correction";"No_correction";"Not_analysed"
"Swartzia leiocalycina";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Pons_2007";"No_correction";"No_correction";"Analysed"
"Swartzia oblanceolata";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"Pons_2007";"No_correction";"No_correction";"Analysed"
"Batesia floribunda";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Bauhinia cupreonitens";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Bauhinia guianensis";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Bauhinia longicuspis";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Bauhinia ungulata";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Campsiandra comosa";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Cassia fastuosa";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Cassia leiandra";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Cassia spruceana";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Chamaecrista desvauxii";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Chamaecrista flexuosa";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Chamaecrista negrensis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Chamaecrista nictitans";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Chamaecrista viscosa";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Crudia amazonica";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Crudia oblonga";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Cynometra spruceana";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Dialium guianense";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Dimorphandra campinarum";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Dimorphandra macrostachya";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Dimorphandra parviflora";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Eperua bijuga";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Eperua duckeana";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Heterostemon mimosoides";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Hymenaea intermedia";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Hymenaea parvifolia";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Macrolobium acaciifolium";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Macrolobium angustifolium";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Macrolobium bifolium";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Macrolobium campestre";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Macrolobium huberianum";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Macrolobium multijugum";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Macrolobium pendulum";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Macrolobium punctatum";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Macrolobium suaveolens";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Martiodendron elatum";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Peltogyne catingae";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Peltogyne venosa";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Senna chrysocarpa";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Senna latifolia";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Senna multijuga";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Senna occidentalis";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Senna pendula";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Senna quinquangulata";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"Data_corrected";"No_correction";"Not_analysed"
"Senna reticulata";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Senna silvestris";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Senna tapajozensis";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Tachigali macrostachya";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Tachigali micropetala";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Tachigali paniculata";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Tachigali paraensis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Tachigali vulgaris";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Vouacapoua americana";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Abarema adenophora";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Abarema auriculata";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Abarema campestris";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Abarema cochleata";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Abarema floribunda";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Abarema piresii";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Acacia auriculiformis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Acacia holosericea";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Acacia mangium";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Albizia decandra";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Albizia inundata";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Albizia niopoides";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Albizia procera";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Albizia duckeana";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Calliandra coriacea";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Calliandra pittieri";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Calliandra surinamensis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Dinizia excelsa";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Entada polystachia";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Enterolobium maximum";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Enterolobium schomburgkii";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Hydrochorea corymbosa";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Hydrochorea gonggrijpii";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Hydrochorea marginata";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Inga acuminata";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Inga alba";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Inga capitata";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Inga cayennensis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Inga cinnamomea";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Inga disticha";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Inga duckei";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Inga edulis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Inga heterophylla";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Inga laurina";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Inga macrophylla";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Inga microcalyx";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Inga nobilis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Inga pezizifera";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Inga rubiginosa";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Inga sertulifera";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Inga splendens";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Inga stipularis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Inga thibaudiana";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Inga umbratica";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Inga velutina";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Inga vera";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Macrosamanea duckei";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Macrosamanea pubiramea";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Mimosa camporum";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Mimosa dormiens";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Mimosa myriadenia";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Mimosa pigra";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Mimosa sensitiva";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Parkia discolor";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Parkia gigantocarpa";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Parkia multijuga";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Parkia pendula";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Parkia velutina";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Pseudopiptadenia psilostachya";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Senegalia polyphylla";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Stryphnodendron ";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Stryphnodendron microstachyum";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Stryphnodendron racemiferum";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Zygia cataractae";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Zygia inaequalis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Zygia latifolia";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Zygia racemosa";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Zygia ramiflora";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"Data_corrected";"No_correction";"Not_analysed"
"Acosmium nitens";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Aeschynomene americana";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Aeschynomene fluminensis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Aeschynomene paniculata";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Aeschynomene sensitiva";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Alexa grandiflora";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Andira inermis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Andira surinamensis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Bowdichia nitida";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Centrosema brasilianum";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Centrosema dasyanthum";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Centrosema plumieri";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Centrosema vexillatum";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Clathrotropis nitida";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Clitoria amazonum";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Clitoria arborea";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Cymbosema roseum";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Dalbergia inundata";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Dalbergia riedelii";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Dalbergia riparia";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Dalbergia spruceana";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Desmodium barbatum";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Dioclea macrocarpa";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Dioclea virgata";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Diplotropis brasiliensis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Diplotropis triloba";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Dipteryx magnifica";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Dipteryx odorata";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Dipteryx punctata";"Yes";"Yes";"Fabales";"Fabaceae";"No";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Hymenolobium excelsum";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
"Hymenolobium modestum";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Not_analysed"
"Hymenolobium nitidum";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Manual";"De_Faria_2010";"No_correction";"No_correction";"Analysed"
